MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id,TimeStamp
00:1B:10:18:48:89,2020-05-05 00:00:00,36.439998626708984,28.8428518,41.0587504,22.785,57,10495,1588636800000000000
00:1B:10:18:1D:0C,2020-05-05 00:00:00,36.349998474121094,28.7617768,41.0472763,26.262,24,10500,1588636800000000000
00:1B:10:18:3A:37,2020-05-05 00:10:00,36.470001220703125,28.8425402,41.0584239,13.345,56,10532,1588637400000000000
00:1B:10:18:48:89,2020-05-05 00:10:00,36.41999816894531,28.8425699,41.0588897,22.229,57,10518,1588637400000000000
00:1B:10:18:33:47,2020-05-05 00:10:00,36.0,0.0,0.0,0.0,34,9241,1588637400000000000
00:1B:10:18:1D:0C,2020-05-05 00:10:00,36.38999938964844,28.7617899,41.0472975,15.331,24,10524,1588637400000000000
00:1B:10:18:2D:73,2020-05-05 00:10:00,36.459999084472656,28.9175792,41.0847067,23.145,49,8840,1588637400000000000
00:1B:10:18:50:2F,2020-05-05 00:10:00,36.380001068115234,28.761784,41.0473145,7.2,26,8819,1588637400000000000
00:1B:10:18:35:6C,2020-05-05 00:10:00,35.970001220703125,28.9010013,41.0252609,699.999,30,8832,1588637400000000000
00:1B:10:18:3F:41,2020-05-05 00:10:00,35.7599983215332,28.8497536,41.0068466,19.624,50,8851,1588637400000000000
00:1B:10:18:37:33,2020-05-05 00:10:00,27.950000762939453,28.8426953,41.0586976,19.641,47,11483,1588637400000000000
00:1B:10:18:33:47,2020-05-05 00:20:00,36.0,0.0,0.0,0.0,34,9262,1588638000000000000
00:1B:10:18:50:2F,2020-05-05 00:20:00,36.40999984741211,28.7617956,41.0472935,13.133,26,8841,1588638000000000000
00:1B:10:18:2D:73,2020-05-05 00:20:00,36.36000061035156,28.9175792,41.0847067,23.145,49,8861,1588638000000000000
00:1B:10:18:48:89,2020-05-05 00:20:00,36.400001525878906,28.8425409,41.0589212,21.308,57,10542,1588638000000000000
00:1B:10:18:1D:0C,2020-05-05 00:20:00,36.40999984741211,28.7617923,41.0472898,24.625,24,10549,1588638000000000000
00:1B:10:18:3A:37,2020-05-05 00:20:00,36.970001220703125,28.8426949,41.0586928,20.182,56,10557,1588638000000000000
00:1B:10:18:3F:41,2020-05-05 00:30:00,35.72999954223633,28.8497275,41.0067605,21.918,50,8872,1588638600000000000
00:1B:10:18:3A:37,2020-05-05 00:30:00,36.5,28.8426974,41.0587041,20.571,56,10582,1588638600000000000
00:1B:10:18:50:2F,2020-05-05 00:30:00,36.459999084472656,28.8223501,41.0530965,12.0,26,10655,1588638600000000000
00:1B:10:18:2D:73,2020-05-05 00:30:00,36.400001525878906,28.9175792,41.0847067,23.145,49,8882,1588638600000000000
00:1B:10:18:48:89,2020-05-05 00:30:00,36.380001068115234,28.8425505,41.0589344,23.043,57,10567,1588638600000000000
00:1B:10:18:33:47,2020-05-05 00:30:00,36.0,0.0,0.0,0.0,34,9285,1588638600000000000
00:1B:10:18:1D:0C,2020-05-05 00:30:00,36.41999816894531,28.7617944,41.0473003,15.416,24,10574,1588638600000000000
00:1B:10:18:3F:41,2020-05-05 00:40:00,35.7400016784668,28.8496885,41.0067502,23.324,50,8893,1588639200000000000
00:1B:10:18:1D:0C,2020-05-05 00:40:00,36.40999984741211,28.7617872,41.0472897,28.078,24,10597,1588639200000000000
00:1B:10:18:35:6C,2020-05-05 00:40:00,36.31999969482422,28.9000127,41.0258748,15.09,30,8898,1588639200000000000
00:1B:10:18:3A:37,2020-05-05 00:40:00,36.619998931884766,28.8427074,41.0587169,22.36,56,10605,1588639200000000000
00:1B:10:18:2D:73,2020-05-05 00:40:00,36.400001525878906,28.9175792,41.0847067,23.145,49,8904,1588639200000000000
00:1B:10:18:3C:CC,2020-05-05 00:40:00,36.47999954223633,28.6628786,41.0289529,16.394,54,8907,1588639200000000000
00:1B:10:18:33:47,2020-05-05 00:40:00,36.0,0.0,0.0,0.0,34,9308,1588639200000000000
00:1B:10:18:48:89,2020-05-05 00:40:00,36.380001068115234,28.8425429,41.0589129,21.576,57,10592,1588639200000000000
00:1B:10:18:48:89,2020-05-05 00:50:00,36.38999938964844,28.8425275,41.0589317,23.989,57,10615,1588639800000000000
00:1B:10:18:1D:0C,2020-05-05 00:50:00,36.369998931884766,28.7617908,41.0473014,16.077,24,10620,1588639800000000000
00:1B:10:18:3C:CC,2020-05-05 00:50:00,36.400001525878906,28.8425582,41.0587086,33.375,54,10622,1588639800000000000
00:1B:10:18:3A:37,2020-05-05 00:50:00,36.4900016784668,28.8426929,41.0586955,19.851,56,10628,1588639800000000000
00:1B:10:18:33:47,2020-05-05 00:50:00,36.0,0.0,0.0,0.0,34,9331,1588639800000000000
00:1B:10:18:4C:36,2020-05-05 00:50:00,35.959999084472656,28.9867273,41.0300088,41.792,20,8915,1588639800000000000
00:1B:10:18:3F:41,2020-05-05 00:50:00,36.310001373291016,28.849639,41.0068331,28.66,50,8917,1588639800000000000
00:1B:10:18:2D:73,2020-05-05 00:50:00,36.400001525878906,28.9175792,41.0847067,23.145,49,8927,1588639800000000000
00:1B:10:18:35:6C,2020-05-05 00:50:00,26.899999618530273,28.9000949,41.0259452,19.173,30,8968,1588639800000000000
00:1B:10:18:3C:CC,2020-05-05 01:00:00,36.45000076293945,28.8424657,41.0581021,13.505,54,10645,1588640400000000000
00:1B:10:18:1D:0C,2020-05-05 01:00:00,36.380001068115234,28.7617848,41.0472932,19.81,24,10642,1588640400000000000
00:1B:10:18:48:89,2020-05-05 01:00:00,36.380001068115234,28.8425285,41.0589303,20.545,57,10638,1588640400000000000
00:1B:10:18:4C:36,2020-05-05 01:00:00,36.380001068115234,28.9868486,41.029909,16.648,20,8936,1588640400000000000
00:1B:10:18:45:49,2020-05-05 01:00:00,36.4900016784668,28.7592081,41.0485005,17.963,71,8937,1588640400000000000
00:1B:10:18:3F:41,2020-05-05 01:00:00,36.349998474121094,28.8496584,41.00687,23.86,50,8939,1588640400000000000
00:1B:10:18:2D:73,2020-05-05 01:00:00,36.41999816894531,28.9175791,41.0847067,78.102,49,8952,1588640400000000000
