,MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id
237,00:1B:10:18:45:9B,2020-05-01 14:30:52.737,35.0,28.8222112,41.0538248,11.567,27,341
247,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,351
250,00:1B:10:18:1D:0C,2020-05-01 14:36:08.080,36.0,28.7617615,41.047293,14.517,24,354
253,00:1B:10:18:43:B5,2020-05-01 14:37:58.557,36.0,29.0256682,41.1036528,11.68,29,357
257,00:1B:10:18:30:29,2020-05-01 14:39:44.497,36.0,29.0257016,41.1036655,14.204,28,361
264,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,368
266,00:1B:10:18:1D:0C,2020-05-01 14:46:08.117,36.0,28.7617832,41.0472932,14.183,24,370
269,00:1B:10:18:43:B5,2020-05-01 14:47:39.953,36.0,29.0256682,41.1036528,11.68,29,373
280,00:1B:10:18:45:9B,2020-05-01 14:52:52.640,35.0,28.8222986,41.0535792,83.246,27,384
282,00:1B:10:18:45:9B,2020-05-01 14:53:52.733,35.0,28.8222986,41.0535792,83.246,27,386
284,00:1B:10:18:45:9B,2020-05-01 14:54:52.640,35.0,28.8224309,41.0538865,61.034,27,388
286,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,390
287,00:1B:10:18:45:9B,2020-05-01 14:55:52.630,35.0,28.8224309,41.0538865,61.034,27,391
289,00:1B:10:18:1D:0C,2020-05-01 14:56:08.123,36.0,28.7617826,41.0472917,18.057,24,393
290,00:1B:10:18:45:9B,2020-05-01 14:56:52.640,35.0,28.8223228,41.0537097,46.34,27,394
292,00:1B:10:18:45:9B,2020-05-01 14:57:52.640,35.0,28.8223228,41.0537097,46.34,27,396
293,00:1B:10:18:43:B5,2020-05-01 14:57:58.830,35.0,29.020456,41.107175,15.02,29,397
296,00:1B:10:18:30:29,2020-05-01 14:59:44.367,35.0,29.0304775,41.1095939,104.185,28,400
